date,title,authors,authors-html,status,ref,arxiv,link-editor,link-slides
2024-04-02,Analysis of an Idealized Stochastic Polyak Method and its Application to Black-Box Model Distillation,"R. M. Gower, G. Garrigos, N. Loizou, D. Oikonomou, K. Mishchenko, F. Schaipp","<a href=""https://gowerrobert.github.io/"">R. M. Gower</a>, G. Garrigos, <a href=""https://nicolasloizou.github.io/"">N. Loizou</a>, <a href=""https://dimitris-oik.github.io/"">D. Oikonomou</a>, <a href=""https://www.konstmish.com/"">K. Mishchenko</a>, <""https://fabian-sp.github.io/"">F. Schaipp</a>",preprint,,2504.01898,,2025-SPS
2024-02-22,Multivariate Online Linear Regression for Hierarchical Forecasting,"M. Hihat, G. Garrigos, A. Fermanian and S. Bussy","M. Hihat, G. Garrigos, <a href=""https://afermanian.github.io/"">A. Fermanian</a> and <a href=""https://simonbussy.com/"">S. Bussy</a>",preprint,,2402.14578,,
2024-02-20,SGD with Clipping is Secretly Estimating the Median Gradient,"G. Garrigos, R. M. Gower, U. Simsekli and F. Schaipp","G. Garrigos, <a href=""https://gowerrobert.github.io/"">R. M. Gower</a>, <a href=""https://www.di.ens.fr/umut.simsekli/"">U. Simsekli</a> and <a href=""https://fabian-sp.github.io/"">F. Schaipp</a>",preprint,,2402.12828,,
2023-07-26,Function Value Learning: Adaptive Learning Rates Based on the Polyak Stepsize and Function Splitting in ERM,"G. Garrigos, R. M. Gower and F. Schaipp","G. Garrigos, <a href=""https://gowerrobert.github.io/"">R. M. Gower</a> and <a href=""https://fabian-sp.github.io/"">F. Schaipp</a>",preprint,,2307.14528,,
2023-07-12,Online Inventory Problems: Beyond the i.i.d. Setting with Online Convex Optimization,"M. Hihat, S. Gaïffas, G. Garrigos and S. Bussy","M. Hihat, <a href=""https://stephanegaiffas.github.io/"">S. Gaïffas</a>, G. Garrigos and <a href=""https://simonbussy.com/"">S. Bussy</a>",accepted-conf,"Advances in Neural Information Processing Systems, Vol. 36, 2024.",2307.06048,https://proceedings.neurips.cc/paper_files/paper/2023/hash/41128e5b3a7622da5b17588757599077-Abstract-Conference.html,
2023-06-04,Provable convergence guarantees for black-box variational inference,"J. Domke, G. Garrigos and R. M. Gower","<a href=""https://people.cs.umass.edu/~domke/"">J. Domke</a>, G. Garrigos and <a href=""https://gowerrobert.github.io/"">R. M. Gower</a>",accepted-conf,"Advances in Neural Information Processing Systems, Vol. 36, 2024.",2306.03638,https://proceedings.neurips.cc/paper_files/paper/2023/hash/d0bcff6425bbf850ec87d5327a965db9-Abstract-Conference.html,2023-VI
2023-01-26,Handbook of Convergence Theorems for (Stochastic) Gradient Methods,G. Garrigos and R. M. Gower,"G. Garrigos and <a href=""https://gowerrobert.github.io/"">R. M. Gower</a>",preprint,,2301.11235,,
2023-01-24,Square distance functions are Polyak-Łojasiewicz and vice-versa,G. Garrigos,G. Garrigos,preprint,,2301.10332,,
2021-06-19,SAN: Stochastic Average Newton Algorithm for Minimizing Finite Sums,"J. Chen, R. Yuan, G. Garrigos and R. M. Gower","<a href=""https://www.linkedin.com/in/jiabin-chen-a54039150/"">J. Chen</a>, <a href=""https://github.com/Rui-Yuan91"">R. Yuan</a>, G. Garrigos and <a href=""https://gowerrobert.github.io/"">R. M. Gower</a>",accepted-conf,"25th International Conference on Artificial Intelligence and Statistics (AISTATS), PMLR, Vol. 151, pp. 279--318, 2022.",2106.10520,https://proceedings.mlr.press/v151/chen22a.html,
2019-12-27,Accelerated iterative regularization via dual diagonal descent,"G. Garrigos, L. Rosasco and S. Villa","G. Garrigos, <a href=""http://web.mit.edu/lrosasco/www/"">L. Rosasco</a> and <a href=""http://lcsl.mit.edu/data/silviavilla/Home.html"">S. Villa</a>",accepted-journal,"SIAM Journal on Optimization, Vol. 31, No. 1, pp. 754--784, 2021.",1912.12153,https://doi.org/10.1137/19M1308888,
